species Number.of.genes Number.of.genes.in.orthogroups Number.of.unassigned.genes Percentage.of.genes.in.orthogroups Percentage.of.unassigned.genes Number.of.orthogroups.containing.species Percentage.of.orthogroups.containing.species Number.of.species.specific.orthogroups Number.of.genes.in.species.specific.orthogroups Percentage.of.genes.in.species.specific.orthogroups
Amoebophrya_sp_A120 25712 13394 12318 52.1 47.9 7397 8.1 1282 4154 16.2
Hematodinium_sp_SG-2012 27851 21431 6420 76.9 23.1 9627 10.5 2562 8076 29
Oxyrrhis_marina 52736 32111 20625 60.9 39.1 12743 13.9 4933 14546 27.6
Perkinsus_marinus 22839 20713 2126 90.7 9.3 6868 7.5 2574 8925 39.1
Vitrella_brassicaformis 23020 19840 3180 86.2 13.8 8312 9.1 1613 8125 35.3
Toxoplasma_gondii 8401 5738 2663 68.3 31.7 4065 4.4 178 700 8.3
Cryptosporidium_muris 3930 3039 891 77.3 22.7 2459 2.7 54 145 3.7
Gregarina_niphandrodes 6280 4384 1896 69.8 30.2 2307 2.5 261 1498 23.9
Stentor_coeruleus 30969 28999 1970 93.6 6.4 8411 9.2 4137 14094 45.5
Platyophrya_macrostoma 25355 19097 6258 75.3 24.7 9062 9.9 1469 4313 17
Tetrahymena_thermophila 26937 20052 6885 74.4 25.6 7236 7.9 1427 8110 30.1
Paramecium_tetraurelia 39273 35967 3306 91.6 8.4 10749 11.8 5458 17696 45.1
Oxytricha_trifallax 23553 19533 4020 82.9 17.1 7368 8.1 2639 8326 35.4
Colponemidia_sp_Colp-15 26863 19008 7855 70.8 29.2 10736 11.7 815 2764 10.3
Reticulomyxa_filosa 39875 32832 7043 82.3 17.7 8973 9.8 4046 18482 46.3
Leptophrys_vorax 29645 22693 6952 76.5 23.5 8271 9.1 1608 7028 23.7
Plasmodiophora_brassicae 9715 8177 1538 84.2 15.8 5028 5.5 336 1129 11.6
Brevimastigomonas_motovehiculus 8943 6348 2595 71 29 4103 4.5 135 445 5
Mataza_sp_D1 27797 18429 9368 66.3 33.7 9011 9.9 1651 4768 17.2
Paulinella_micropora 31011 22287 8724 71.9 28.1 7964 8.7 2220 11087 35.8
Bigelowiella_longifila 15565 10484 5081 67.4 32.6 6361 7 331 859 5.5
Lapot_gusevi 28828 22180 6648 76.9 23.1 10655 11.7 1549 6006 20.8
Saprolegnia_diclina 17280 15261 2019 88.3 11.7 6763 7.4 793 4135 23.9
Aureococcus_anophagefferens 11485 10355 1130 90.2 9.8 5358 5.9 446 1379 12
Triparma_laevis 15488 10660 4828 68.8 31.2 6166 6.7 282 1729 11.2
Phaeodactylum_tricornutum 10432 9077 1355 87 13 5626 6.2 312 1188 11.4
Chlorochromonas_danica 21904 17750 4154 81 19 8242 9 1075 3402 15.5
Nannochloropsis_salina 8805 7468 1337 84.8 15.2 5169 5.7 126 474 5.4
Ectocarpus_siliculosus 16118 13461 2657 83.5 16.5 7505 8.2 541 2155 13.4
Chattonella_subsalsa 22869 19926 2943 87.1 12.9 8927 9.8 1862 5660 24.7
MAST-03A_sp_MAST-3A-sp1 7513 6305 1208 83.9 16.1 4381 4.8 105 297 4
Hondaea_fermentalgiana 11825 9976 1849 84.4 15.6 5919 6.5 293 1141 9.6
Haloplacidia_sp_CaronLabIsolate 15703 8975 6728 57.2 42.8 5434 5.9 304 944 6
Cafeteria_burkhardae 8424 6834 1590 81.1 18.9 4585 5 195 697 8.3
Telonema_sp_P-2 49119 40755 8364 83 17 20931 22.9 1881 7202 14.7
Telonema_subtile 36562 31672 4890 86.6 13.4 18485 20.2 738 2530 6.9
