gene_family	speciation	speciation_loss	duplication	transfer	transfer_loss	loss	number_gene_copies	number_species
OG0000000	186	65	291	435	0	0	913	36
OG0000001	315	259	240	194	0	0	750	36
OG0000002	297	192	265	148	0	0	711	35
OG0000003	225	105	126	356	0	0	708	36
OG0000004	185	49	130	379	0	0	695	36
OG0000006	235	115	204	174	0	0	614	36
OG0000007	141	83	283	162	0	0	587	36
OG0000008	25	7	439	104	0	0	569	27
OG0000009	165	98	264	121	0	0	551	36
OG0000010	99	35	364	66	0	0	530	36
OG0000011	62	17	294	147	0	0	504	36
OG0000012	98	33	221	157	0	0	477	33
OG0000013	150	71	141	176	0	0	468	36
OG0000014	46	17	298	115	0	0	460	36
OG0000015	70	31	246	136	0	0	453	35
OG0000016	94	43	234	122	0	0	451	34
OG0000017	239	122	83	126	0	0	449	36
OG0000018	53	25	298	94	0	0	446	31
OG0000019	178	100	139	118	0	0	436	36
OG0000020	80	17	126	225	0	0	432	35
OG0000022	92	23	123	208	0	0	424	34
OG0000023	128	74	175	116	0	0	420	36
OG0000024	153	107	54	207	0	0	415	35
OG0000025	152	88	111	138	0	0	402	36
OG0000026	115	45	77	205	0	0	398	36
OG0000027	66	24	204	125	0	0	396	36
OG0000030	83	31	179	119	0	0	382	36
OG0000031	119	54	156	105	0	0	381	36
OG0000032	97	29	79	192	0	0	369	36
OG0000033	137	72	61	169	0	0	368	36
OG0000034	132	74	128	94	0	0	355	35
OG0000035	87	38	95	167	0	0	350	36
OG0000036	139	106	115	93	0	0	348	31
OG0000037	207	68	63	75	0	0	346	36
OG0000038	59	29	189	93	0	0	342	31
OG0000039	91	37	172	79	0	0	343	35
OG0000040	51	3	195	88	0	0	335	32
OG0000041	81	27	64	185	0	0	331	35
OG0000042	56	19	179	93	0	0	329	36
OG0000043	106	54	98	124	0	0	329	35
OG0000045	68	34	138	106	0	0	313	32
OG0000046	82	28	154	76	0	0	313	36
OG0000047	44	20	171	96	0	0	312	32
OG0000048	117	54	78	111	0	0	307	35
OG0000049	84	59	166	50	0	0	301	36
OG0000050	117	42	110	68	0	0	296	35
OG0000051	95	54	113	85	0	0	294	34
OG0000052	76	21	158	58	0	0	293	36
OG0000053	130	74	67	92	0	0	290	36
OG0000054	120	73	70	97	0	0	288	36
OG0000055	75	24	51	159	0	0	286	34
OG0000056	77	25	102	99	0	0	279	36
OG0000057	147	73	54	75	0	0	277	36
OG0000058	78	47	66	132	0	0	277	34
OG0000059	52	31	187	36	0	0	276	29
OG0000060	147	40	71	56	0	0	275	36
OG0000061	128	86	44	101	0	0	274	36
OG0000063	86	26	50	135	0	0	272	36
OG0000064	77	39	75	118	0	0	271	35
OG0000065	49	16	123	97	0	0	270	35
OG0000066	62	25	93	113	0	0	269	36
OG0000067	40	9	141	87	0	0	269	28
OG0000068	45	13	137	84	0	0	267	35
OG0000069	76	51	126	62	0	0	265	32
OG0000070	44	7	144	70	0	0	259	22
OG0000071	104	62	64	87	0	0	256	36
OG0000072	59	11	116	80	0	0	256	35
OG0000073	117	58	59	80	0	0	257	36
OG0000074	97	53	54	105	0	0	257	36
OG0000075	34	7	175	47	0	0	257	21
OG0000076	172	59	34	48	0	0	255	36
OG0000077	60	14	90	104	0	0	255	34
OG0000078	0	2	245	8	0	0	254	6
OG0000079	80	29	125	47	0	0	253	36
OG0000080	85	33	81	84	0	0	251	36
OG0000082	143	77	33	73	0	0	250	36
OG0000083	101	71	72	76	0	0	250	35
OG0000084	50	20	126	70	0	0	247	28
OG0000085	90	43	112	45	0	0	248	35
OG0000086	67	28	118	60	0	0	246	36
OG0000087	48	20	31	166	0	0	246	33
OG0000088	91	58	72	82	0	0	246	33
OG0000089	79	38	50	113	0	0	243	36
OG0000090	21	8	159	60	0	0	241	32
OG0000091	44	14	85	108	0	0	238	34
OG0000092	47	14	100	90	0	0	238	30
OG0000093	48	14	52	137	0	0	238	34
OG0000095	75	52	94	66	0	0	236	33
OG0000096	48	21	111	74	0	0	234	33
OG0000097	103	59	66	60	0	0	230	35
OG0000098	38	6	124	64	0	0	227	19
OG0000099	93	81	74	60	0	0	228	36
OG0000100	28	6	101	99	0	0	229	31
OG0000101	26	4	164	38	0	0	229	29
OG0000102	44	22	72	111	0	0	228	35
OG0000103	91	38	68	68	0	0	228	36
OG0000104	72	38	101	52	0	0	226	35
OG0000105	92	52	79	52	0	0	224	33
OG0000106	69	42	63	92	0	0	225	34
OG0000107	56	24	111	56	0	0	224	33
OG0000108	43	16	100	78	0	0	222	34
OG0000109	75	51	79	66	0	0	221	21
OG0000110	51	14	84	85	0	0	221	36
OG0000111	70	44	50	99	0	0	220	33
OG0000112	72	38	108	38	0	0	219	36
OG0000113	102	48	61	55	0	0	219	36
OG0000114	74	42	79	62	0	0	216	33
OG0000115	42	12	118	57	0	0	218	33
OG0000116	128	85	36	50	0	0	215	35
OG0000117	57	25	45	112	0	0	215	34
OG0000118	66	21	51	96	0	0	214	35
OG0000119	77	15	84	51	0	0	213	36
OG0000120	39	10	123	49	0	0	212	35
OG0000121	104	34	64	43	0	0	212	36
OG0000122	40	8	77	90	0	0	208	33
OG0000123	94	51	35	77	0	0	207	35
OG0000124	13	5	120	72	0	0	206	29
OG0000125	32	0	63	111	0	0	207	33
OG0000126	55	20	49	102	0	0	207	33
OG0000127	96	37	46	62	0	0	205	36
OG0000128	91	37	74	39	0	0	205	36
OG0000130	82	38	82	38	0	0	203	33
OG0000131	38	19	113	51	0	0	203	31
OG0000132	18	6	87	93	0	0	199	29
OG0000133	49	29	110	39	0	0	199	35
OG0000134	37	12	76	85	0	0	199	28
OG0000135	41	13	90	66	0	0	198	29
OG0000136	83	42	33	79	0	0	196	33
OG0000137	100	39	55	36	0	0	192	36
OG0000138	19	0	92	80	0	0	192	18
OG0000139	55	21	79	55	0	0	190	35
OG0000141	99	36	52	37	0	0	189	35
OG0000142	36	24	71	81	0	0	189	30
OG0000144	42	1	108	37	0	0	188	36
OG0000145	41	23	98	48	0	0	188	30
OG0000146	14	6	137	36	0	0	188	24
OG0000147	33	15	91	62	0	0	187	33
OG0000148	77	26	55	52	0	0	185	36
OG0000149	39	12	45	100	0	0	185	34
OG0000150	33	5	108	42	0	0	184	35
OG0000151	84	30	48	52	0	0	185	36
